practicetext,practicecorrect,n,JFALSE.started_mean,JFALSE.started_raw,JFALSE.started_std,JFALSE.stopped_raw,PracticeText_2.started_mean,PracticeText_2.started_raw,PracticeText_2.started_std,PracticeText_2.stopped_raw,fixcross1.started_mean,fixcross1.started_raw,fixcross1.started_std,fixcross1.stopped_mean,fixcross1.stopped_raw,fixcross1.stopped_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,key_resp_5.corr_mean,key_resp_5.corr_raw,key_resp_5.corr_std,key_resp_5.keys_raw,key_resp_5.rt_mean,key_resp_5.rt_raw,key_resp_5.rt_std,key_resp_5.started_mean,key_resp_5.started_raw,key_resp_5.started_std,key_resp_5.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
A circle is a shape,f,1.0,47.65677261352539,47.65677261352539,0.0,,48.606719970703125,48.606719970703125,0.0,,47.62362289428711,47.62362289428711,0.0,48.12360763549805,48.12360763549805,0.0,'space',0.27383169531822205,0.27383169531822205,0.0,49.007354736328125,49.007354736328125,0.0,,1.0,1.0,0.0,'f',0.3764849007129669,0.3764849007129669,0.0,48.606719970703125,48.606719970703125,0.0,,49.007354736328125,49.007354736328125,0.0,,2.0
Dinosaurs are extinct,f,1.0,55.69196701049805,55.69196701049805,0.0,,56.64213562011719,56.64213562011719,0.0,,55.658050537109375,55.658050537109375,0.0,56.15890121459961,56.15890121459961,0.0,'space',0.34233981370925903,0.34233981370925903,0.0,56.87555694580078,56.87555694580078,0.0,,1.0,1.0,0.0,'f',0.20060975849628448,0.20060975849628448,0.0,56.64213562011719,56.64213562011719,0.0,,56.87555694580078,56.87555694580078,0.0,,7.0
Magenta is a color,f,1.0,58.65916061401367,58.65916061401367,0.0,,59.60887908935547,59.60887908935547,0.0,,58.64188003540039,58.64188003540039,0.0,59.14207458496094,59.14207458496094,0.0,'space',0.36989837884902954,0.36989837884902954,0.0,62.37454605102539,62.37454605102539,0.0,,1.0,1.0,0.0,'f',2.7476725578308105,2.7476725578308105,0.0,59.60887908935547,59.60887908935547,0.0,,62.37454605102539,62.37454605102539,0.0,,9.0
A clock is used to tell time,f,1.0,43.72329330444336,43.72329330444336,0.0,,44.674076080322266,44.674076080322266,0.0,,43.689456939697266,43.689456939697266,0.0,44.19124221801758,44.19124221801758,0.0,'space',0.9095338582992554,0.9095338582992554,0.0,44.88996124267578,44.88996124267578,0.0,,1.0,1.0,0.0,'f',0.18448054790496826,0.18448054790496826,0.0,44.674076080322266,44.674076080322266,0.0,,44.88996124267578,44.88996124267578,0.0,,0.0
Humans cannot breathe water,f,1.0,45.87501907348633,45.87501907348633,0.0,,46.82504653930664,46.82504653930664,0.0,,45.841590881347656,45.841590881347656,0.0,46.35694122314453,46.35694122314453,0.0,'space',0.31493496894836426,0.31493496894836426,0.0,47.27462387084961,47.27462387084961,0.0,,1.0,1.0,0.0,'f',0.4325624406337738,0.4325624406337738,0.0,46.82504653930664,46.82504653930664,0.0,,47.27462387084961,47.27462387084961,0.0,,1.0
A truck is an animal,j,1.0,51.05815505981445,51.05815505981445,0.0,,52.00887680053711,52.00887680053711,0.0,,51.02481460571289,51.02481460571289,0.0,51.525455474853516,51.525455474853516,0.0,'space',0.3297545909881592,0.3297545909881592,0.0,52.225284576416016,52.225284576416016,0.0,,0.0,0.0,0.0,'f',0.1961839348077774,0.1961839348077774,0.0,52.00887680053711,52.00887680053711,0.0,,52.225284576416016,52.225284576416016,0.0,,4.0
Jupiter is the planet we live on,j,1.0,54.17511749267578,54.17511749267578,0.0,,55.12574768066406,55.12574768066406,0.0,,54.1418571472168,54.1418571472168,0.0,54.641876220703125,54.641876220703125,0.0,'space',0.307239830493927,0.307239830493927,0.0,55.32559585571289,55.32559585571289,0.0,,0.0,0.0,0.0,'f',0.16810764372348785,0.16810764372348785,0.0,55.12574768066406,55.12574768066406,0.0,,55.32559585571289,55.32559585571289,0.0,,6.0
The Earth is a star,j,1.0,52.608489990234375,52.608489990234375,0.0,,53.5585823059082,53.5585823059082,0.0,,52.57453536987305,52.57453536987305,0.0,53.07508850097656,53.07508850097656,0.0,'space',0.35167989134788513,0.35167989134788513,0.0,53.75824737548828,53.75824737548828,0.0,,0.0,0.0,0.0,'f',0.17051386833190918,0.17051386833190918,0.0,53.5585823059082,53.5585823059082,0.0,,53.75824737548828,53.75824737548828,0.0,,5.0
Mississippi is a country,j,1.0,49.35697555541992,49.35697555541992,0.0,,50.30797576904297,50.30797576904297,0.0,,49.32325744628906,49.32325744628906,0.0,49.8237190246582,49.8237190246582,0.0,'space',0.29339802265167236,0.29339802265167236,0.0,50.70875549316406,50.70875549316406,0.0,,0.0,0.0,0.0,'f',0.3721712529659271,0.3721712529659271,0.0,50.30797576904297,50.30797576904297,0.0,,50.70875549316406,50.70875549316406,0.0,,3.0
Humans cannot eat food,j,1.0,57.275901794433594,57.275901794433594,0.0,,58.22517013549805,58.22517013549805,0.0,,57.241275787353516,57.241275787353516,0.0,57.74225997924805,57.74225997924805,0.0,'space',0.30736228823661804,0.30736228823661804,0.0,58.292476654052734,58.292476654052734,0.0,,0.0,0.0,0.0,'f',0.03359421715140343,0.03359421715140343,0.0,58.22517013549805,58.22517013549805,0.0,,58.292476654052734,58.292476654052734,0.0,,8.0

extraInfo
participant,0
date,2022_Feb_17_1315
expName,slow
psychopyVersion,2021.2.3
frameRate,59.95926870946831
