practicetext,practicecorrect,n,FixcrossPractice.started_mean,FixcrossPractice.started_raw,FixcrossPractice.started_std,FixcrossPractice.stopped_mean,FixcrossPractice.stopped_raw,FixcrossPractice.stopped_std,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,text.started_mean,text.started_raw,text.started_std,text.stopped_raw,order
A circle is a shape,f,1.0,46.15171813964844,46.15171813964844,0.0,46.60204315185547,46.60204315185547,0.0,46.63556671142578,46.63556671142578,0.0,,1.0,1.0,0.0,'f',0.14653918147087097,0.14653918147087097,0.0,47.13469314575195,47.13469314575195,0.0,,'space',0.29951679706573486,0.29951679706573486,0.0,47.30082321166992,47.30082321166992,0.0,,47.30082321166992,47.30082321166992,0.0,,7.0
Dinosaurs are extinct,f,1.0,47.61922836303711,47.61922836303711,0.0,48.068824768066406,48.068824768066406,0.0,48.10206604003906,48.10206604003906,0.0,,1.0,1.0,0.0,'f',0.35360705852508545,0.35360705852508545,0.0,48.602474212646484,48.602474212646484,0.0,,'space',0.29848524928092957,0.29848524928092957,0.0,48.984989166259766,48.984989166259766,0.0,,48.984989166259766,48.984989166259766,0.0,,8.0
Magenta is a color,f,1.0,36.58438491821289,36.58438491821289,0.0,37.034523010253906,37.034523010253906,0.0,37.067466735839844,37.067466735839844,0.0,,1.0,1.0,0.0,'f',0.47390687465667725,0.47390687465667725,0.0,37.567081451416016,37.567081451416016,0.0,,'space',0.40542083978652954,0.40542083978652954,0.0,38.06644058227539,38.06644058227539,0.0,,38.06644058227539,38.06644058227539,0.0,,3.0
A clock is used to tell time,f,1.0,38.5169563293457,38.5169563293457,0.0,38.967342376708984,38.967342376708984,0.0,39.00007629394531,39.00007629394531,0.0,,1.0,1.0,0.0,'f',0.275339275598526,0.275339275598526,0.0,39.50028991699219,39.50028991699219,0.0,,'space',0.2987328767776489,0.2987328767776489,0.0,39.80006790161133,39.80006790161133,0.0,,39.80006790161133,39.80006790161133,0.0,,4.0
Humans cannot breathe water,f,1.0,40.13410949707031,40.13410949707031,0.0,40.58357238769531,40.58357238769531,0.0,40.617332458496094,40.617332458496094,0.0,,0.0,0.0,0.0,'j',1.5305683612823486,1.5305683612823486,0.0,41.11701202392578,41.11701202392578,0.0,,'space',0.3967350423336029,0.3967350423336029,0.0,42.667884826660156,42.667884826660156,0.0,,42.667884826660156,42.667884826660156,0.0,,5.0
A truck is an animal,j,1.0,27.716951370239258,27.716951370239258,0.0,28.167482376098633,28.167482376098633,0.0,28.1837215423584,28.1837215423584,0.0,,1.0,1.0,0.0,'j',1.7451260089874268,1.7451260089874268,0.0,28.684127807617188,28.684127807617188,0.0,,'space',1.4616845846176147,1.4616845846176147,0.0,30.449621200561523,30.449621200561523,0.0,,30.449621200561523,30.449621200561523,0.0,,0.0
Jupiter is the planet we live on,j,1.0,31.951305389404297,31.951305389404297,0.0,32.400421142578125,32.400421142578125,0.0,32.434242248535156,32.434242248535156,0.0,,1.0,1.0,0.0,'j',0.7412003874778748,0.7412003874778748,0.0,32.934059143066406,32.934059143066406,0.0,,'space',0.336702823638916,0.336702823638916,0.0,33.70144271850586,33.70144271850586,0.0,,33.70144271850586,33.70144271850586,0.0,,1.0
The Earth is a star,j,1.0,49.301082611083984,49.301082611083984,0.0,49.75257110595703,49.75257110595703,0.0,49.78528594970703,49.78528594970703,0.0,,1.0,1.0,0.0,'j',1.63349449634552,1.63349449634552,0.0,50.28566360473633,50.28566360473633,0.0,,'space',0.39053136110305786,0.39053136110305786,0.0,51.93550491333008,51.93550491333008,0.0,,51.93550491333008,51.93550491333008,0.0,,9.0
Mississippi is a country,j,1.0,43.08464050292969,43.08464050292969,0.0,43.533687591552734,43.533687591552734,0.0,43.56717300415039,43.56717300415039,0.0,,1.0,1.0,0.0,'j',1.6403306722640991,1.6403306722640991,0.0,44.06822204589844,44.06822204589844,0.0,,'space',0.39595216512680054,0.39595216512680054,0.0,45.73538589477539,45.73538589477539,0.0,,45.73538589477539,45.73538589477539,0.0,,6.0
Humans cannot eat food,j,1.0,34.06747817993164,34.06747817993164,0.0,34.534996032714844,34.534996032714844,0.0,34.55082702636719,34.55082702636719,0.0,,1.0,1.0,0.0,'j',1.0575644969940186,1.0575644969940186,0.0,35.05139923095703,35.05139923095703,0.0,,'space',0.42800307273864746,0.42800307273864746,0.0,36.134029388427734,36.134029388427734,0.0,,36.134029388427734,36.134029388427734,0.0,,2.0

extraInfo
participant,215450
date,2022_Feb_16_1650
expName,Scientific and Linguistic Understanding
psychopyVersion,2021.2.3
frameRate,59.850982067831815
