practicetext,practicecorrect,n,FixcrossPractice.started_mean,FixcrossPractice.started_raw,FixcrossPractice.started_std,FixcrossPractice.stopped_mean,FixcrossPractice.stopped_raw,FixcrossPractice.stopped_std,PracticeText.started_mean,PracticeText.started_raw,PracticeText.started_std,PracticeText.stopped_raw,key_resp_2.corr_mean,key_resp_2.corr_raw,key_resp_2.corr_std,key_resp_2.keys_raw,key_resp_2.rt_mean,key_resp_2.rt_raw,key_resp_2.rt_std,key_resp_2.started_mean,key_resp_2.started_raw,key_resp_2.started_std,key_resp_2.stopped_raw,order
A circle is a shape,e,1.0,18.213876724243164,18.213876724243164,0.0,18.664016723632812,18.664016723632812,0.0,18.69786834716797,18.69786834716797,0.0,,1.0,1.0,0.0,'e',0.5901908278465271,0.5901908278465271,0.0,20.197385787963867,20.197385787963867,0.0,,1.0
Dinosaurs are extinct,e,1.0,29.514549255371094,29.514549255371094,0.0,29.965030670166016,29.965030670166016,0.0,29.981475830078125,29.981475830078125,0.0,,1.0,1.0,0.0,'e',0.20522210001945496,0.20522210001945496,0.0,31.48160743713379,31.48160743713379,0.0,,6.0
Magenta is a color,e,1.0,25.04741859436035,25.04741859436035,0.0,25.498004913330078,25.498004913330078,0.0,25.514585494995117,25.514585494995117,0.0,,1.0,1.0,0.0,'e',0.2835504710674286,0.2835504710674286,0.0,27.014694213867188,27.014694213867188,0.0,,4.0
A clock is used to tell time,e,1.0,15.929804801940918,15.929804801940918,0.0,16.380565643310547,16.380565643310547,0.0,16.397043228149414,16.397043228149414,0.0,,1.0,1.0,0.0,'e',0.2952136695384979,0.2952136695384979,0.0,17.89745330810547,17.89745330810547,0.0,,0.0
Humans cannot breathe water,e,1.0,33.86493682861328,33.86493682861328,0.0,34.315147399902344,34.315147399902344,0.0,34.34876251220703,34.34876251220703,0.0,,1.0,1.0,0.0,'e',0.3405740559101105,0.3405740559101105,0.0,35.84889602661133,35.84889602661133,0.0,,8.0
A truck is an animal,i,1.0,36.214420318603516,36.214420318603516,0.0,36.665470123291016,36.665470123291016,0.0,36.69886779785156,36.69886779785156,0.0,,0.0,0.0,0.0,'e',0.4205324053764343,0.4205324053764343,0.0,38.19908142089844,38.19908142089844,0.0,,9.0
Jupiter is the planet we live on,i,1.0,27.331085205078125,27.331085205078125,0.0,27.78126335144043,27.78126335144043,0.0,27.8149356842041,27.8149356842041,0.0,,0.0,0.0,0.0,'e',0.15702849626541138,0.15702849626541138,0.0,29.314828872680664,29.314828872680664,0.0,,5.0
The Earth is a star,i,1.0,22.881454467773438,22.881454467773438,0.0,23.33111572265625,23.33111572265625,0.0,23.364423751831055,23.364423751831055,0.0,,0.0,0.0,0.0,'e',0.14173957705497742,0.14173957705497742,0.0,24.864383697509766,24.864383697509766,0.0,,3.0
Mississippi is a country,i,1.0,20.830581665039062,20.830581665039062,0.0,21.281076431274414,21.281076431274414,0.0,21.314353942871094,21.314353942871094,0.0,,0.0,0.0,0.0,'e',0.018737178295850754,0.018737178295850754,0.0,22.81454086303711,22.81454086303711,0.0,,2.0
Humans cannot eat food,i,1.0,31.71379852294922,31.71379852294922,0.0,32.1651611328125,32.1651611328125,0.0,32.19820022583008,32.19820022583008,0.0,,0.0,0.0,0.0,'e',0.15007756650447845,0.15007756650447845,0.0,33.69866180419922,33.69866180419922,0.0,,7.0

extraInfo
participant,3
session,001
date,2021_Dec_30_1642
expName,InfinityThesisTest5
psychopyVersion,2021.2.3
frameRate,59.900490904595834
