FastInstructions,Statement,Correct,SlowInstructions,SpeededBlock.thisRepN,SpeededBlock.thisTrialN,SpeededBlock.thisN,SpeededBlock.thisIndex,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,SlowBlock.thisRepN,SlowBlock.thisTrialN,SlowBlock.thisN,SlowBlock.thisIndex,SlowInstrLoop.thisRepN,SlowInstrLoop.thisTrialN,SlowInstrLoop.thisN,SlowInstrLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,SlowInstrText.started,SlowInstrText.stopped,SlowInstrKey.keys,SlowInstrKey.rt,SlowInstrKey.started,SlowInstrKey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,13.676016502897255,None,e,10.06452515895944,15.659033034928143,None,,,,,,,,,,,,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
"Each statement will appear on your screen for 5 seconds and you will have those 5 seconds to decide if it is true or false before the next statement appears. There will be a timer on your screen and a reminder when you have 2 seconds remaining. If you do not respond, that answer will be considered incorrect and the task will move on to the next statement. Press E to continue",,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,25.7767367369961,None,e,5.8139032130129635,27.760149776004255,None,,,,,,,,,,,,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
"If the statement is true, you will press the “E” key on your keyboard with your left pointer finger; if the statement is false, you will press the “I” key on your keyboard with your right pointer finger. Press E to continue",,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,33.610886383918114,None,e,2.044128219014965,35.593686759937555,None,,,,,,,,,,,,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
,A minute is infinite,i,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,37.694385051960126,38.194029761943966,38.17852311395109,None,e,0,0.7670655639376491,38.17852311395109,None,None,None,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
,Numbers are finite,i,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,38.97742239199579,39.47719562391285,39.46104922192171,None,e,0,1.2524710360448807,39.46104922192171,None,None,None,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
,Time  goes on forever,e,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,40.76181458798237,41.26162235799711,41.22780446393881,46.22836549789645,None,0,,41.22780446393881,None,44.22797910938971,None,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
,An inch cannot go on forever,e,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,46.72808946890291,47.22798312199302,47.21082906099036,None,e,1,1.2844603690318763,47.21082906099036,46.72808946890291,None,None,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
,Space has an end,i,,0,0,0,0,,,,,0,4,4,1,,,,,,,,,,,,,,,48.52795352891553,49.028837521909736,49.01186033291742,None,e,0,4.288778319954872,49.01186033291742,None,52.01236732839607,52.211299736984074,,,,,,,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
,,,"You will be shown a total of 160 statements pertaining to mathematics, science, and social concepts. Your task is to determine whether each statement is true or false as quickly as possible without sacrificing accuracy. Some statements will be difficult and some will be easier.  We do not expect you to know the correct answer for all 160 statements.  Press E to Continue",,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,53.41140410094522,None,e,4.367141145979986,53.41140410094522,None,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
,,,We urge you to try your best and take your time. Each statement will appear on your screen and you will have as much time as you need to decide if it is true or false. Press E to continue,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,57.81273116299417,None,e,6.704327118000947,57.81273116299417,None,9,001,2021_Nov_16_1609,InfinityThesisTest5,2021.2.3,60.04863058949999,
